,transcipt,speakers,file,batch,start,end,start_rounded,end_rounded,log_mean_pitch,log_stdev_pitch,pitch_rate_of_change_log_variance,pitch_2_percentile,pitch_25_percentile,pitch_50_percentile,pitch_75_percentile,pitch_98_percentile,word_count,duration
11,"I agree with that. So -- so let me -- what do we do on a separate but related matter, which is normally we assume that when -- when -- when Congress dictates that we shall hear certain classes of cases, that we have a duty to hear those certain classes of cases, and we can't decide not to do it just because it would be inconvenient to us.",Neil_Gorsuch,18-1447,11,1103.13,1122.975,1103,1123,5.293741092893621,0.39303865822000195,0.001602333868434334,69.16194586707746,145.9866916572425,211.28204791122093,269.2917795270241,307.9097132468908,69,19.8449999999998
12,"Thank you, Chief Justice. And good morning, Mr. Silbert. On your point that it's easy for courts to apply this, I hear you giving us something of a bright line, that if it's foreign defendants who injured foreign plaintiffs in a foreign country, then abstain. Is that accurate?",Brett_M_Kavanaugh,18-1447,12,1143.315,1170.915,1143,1171,5.186150586975196,0.17249650293240562,0.0009452881018639714,145.14587018501834,158.05478349286224,169.64319079487348,189.3213161937526,274.9540311363204,48,27.59999999999991
13,"Good morning, Mr. Silbert. So you told Justice Sotomayor, when she asked you about the distinction between exhaustion and the comity doctrine that we're talking about this morning, that whether you call it abstention or exhaustion, it means you go to Hungary first, that they're functionally the same thing here or they're very closely related. But, if these plaintiffs had exhausted in Hungary first, I gather from your answer to Justice Kavanaugh that they still could not come here, that the doctrine of international comity that you propose would still be a bar, is that correct?",Amy_Coney_Barrett,18-1447,13,1287.215,1320.955,1287,1321,5.64060140084104,0.1385997720689617,0.0018938019630429911,232.59859773341174,255.6500291307247,272.42079928303684,299.6633970639889,411.60459928923507,96,33.74000000000001
14,"Mr. Snyder, this question will not surprise you. You -- you emphasize the significance of the international relations context as a reason for international comity, but your client, the United States, has scrupulously avoided taking a position on what the courts should do given the international relations context. This is the perfect time for you to fill that void. Why -- why hasn't the government told the courts what the foreign relations impact on the United States is?",John_G_Roberts_Jr,18-1447,14,1556.54,1590.48,1557,1590,5.3779709324055025,0.3793069990723125,0.0017580659403259396,147.94112059954443,171.61434972294217,189.3213161937526,223.84553226259098,541.3915435899914,78,33.940000000000055
15,"Well, it's the same question. One of the things Congress seemed to be upset about and wanted to pass the FSIA was contradictory information from State. The American strawberry industry wants to sue the country of Xanadu, run by a terrible dictator, but, in Xanadu, our strawberry industry is being sued by some Xanadu nationals, and State wants to help our industry. Now all I have to do is reverse the situation and they'll want to help them in opposite ways. So depending on who is being sued where, you get a different result when you ask State, is it immediately in our interest or not and how is American industry being hurt or helped? Is that something we should take into account in comity?",Stephen_G_Breyer,18-1447,15,1782.275,1838.045,1782,1838,5.275941843077019,0.3216618728220838,0.002184535230050972,124.18608452867444,157.37105256787842,190.41804342135148,218.73289323986043,526.7091146880919,125,55.76999999999998
16,"If this doctrine is all about the effect on foreign relations, if I were a district judge and I received a motion asking me to abstain on comity grounds, my first question would be, what does the government of the United States think about the foreign relations impact of this -- of this lawsuit? So won't you be in the position of having to answer that question every time this doctrine is asserted?",Samuel_A_Alito_Jr,18-1447,16,1888.365,1921.705,1888,1922,5.035841281092743,0.24632926295654492,0.0009976269705857313,118.45254451055247,133.09934981412218,144.30989148811935,163.39262584750963,382.24802988756153,73,33.33999999999992
17,"Counsel, I understood that the FSIA was passed to remove the pressure on the Department of State to decide whether or not it would grant -- immunity should be granted or not. I, like my -- my predecessor colleagues' questions indicate, don't know how that pressure would stop in this situation, but I also don't know why that judgment has all -- not already been made by Congress, meaning if we accept the argument in Germany that expropriation has to be -- as an international norm, involve only expropriations of non-nationals and not domestic people and we dismiss that case, or if we rule the other way and we say Congress intended for those suits to be in the United States, that, yes, takings from nationals could have a forum here, I'm not sure how we can substitute -- the Court could substitute its judgment for Congress.",Sonia_Sotomayor,18-1447,17,2011.46,2096.245,2011,2096,5.494046111542551,0.23514980651951095,0.0016599012245644563,170.09524797801865,210.06515286029162,233.08188075904494,263.1411467822288,488.96070767338426,147,84.78499999999985
18,"Why? So why wouldn't the other doctrines that already exist, like forum non conveniens, take care of virtually any other consideration, would be -- be addressed? Meaning the issue of foreign relations tension is exactly what the FSIA was intended to -- the judgment of Congress that in these designated circumstances, those tensions should not lead to immunity. But why should they lead to abstention?",Sonia_Sotomayor,18-1447,18,2131.48,2172.735,2131,2173,5.505294987085892,0.24351793773133995,0.0017269836023101515,171.61434972294217,212.505992363466,236.4731210137063,264.6655079380657,568.0018456942681,65,41.25500000000011
19,"I mean, I would think that it's -- that that's exactly what the State Department would be doing here too. They'd be looking at this particular case, the claims in this case, the alternative forum that Hungary is providing in this case, and they would make a decision. I mean, some might say that what's going on here is that the State Department is expecting the courts to do the difficult and sensitive and some might say dirty work for you.",Elena_Kagan,18-1447,19,2229.805,2252.265,2230,2252,5.502927694436348,0.3143482302086319,0.0009229148019389737,178.6955271983718,200.5789474828077,232.4106543345544,267.74077300753,726.9278969050141,81,22.460000000000036
20,"Thanks. When I asked Mr. Silbert about the historical basis of this doctrine, he gave me the Belgenland case as his principal case showing that this comity-based doctrine that you're espousing, in fact, has such a basis. In your brief, you call Belgenland an early example of forum non conveniens. So what's your best case, best historical case, for this comity doctrine?",Elena_Kagan,18-1447,20,2278.885,2307.555,2279,2308,5.413111785611542,0.1802043173487793,0.0006175529647621226,179.5650722312171,195.99771799087463,217.47308447763714,244.8123276167875,376.81074267429045,62,28.669999999999618
21,"Mr. Snyder, I guess I'm curious about this: Is -- is what you're arguing for a broad-based comity abstention doctrine or an exhaustion doctrine? In -- in response to Justice Kagan, I believe you said that the real confusion for the State Department apparently lies in what remedies would be available in Hungary. That sounds like exhaustion. And Mr. Silbert, in response to Justice Barrett, indicated that after exhausting Hungarian remedies, the plaintiffs would be free to come to the United States subject only to preclusion principles, which have nothing to do with abstention and would apply in domestically normal law. So what -- what do you say to that? Is -- is what you're arguing for really just an exhaustion argument?",Neil_Gorsuch,18-1447,21,2338.81,2382.61,2339,2383,5.870883885371237,0.6537471539025576,0.0032354998897802384,123.47082531403102,179.73069985652097,523.2511306011972,611.5640167306283,766.9379213276577,122,43.80000000000018
22,"Yeah, that -- that's -- we do that all the time under the -- the -- the rubric of exhaustion, counsel. Okay. Fine. Let's say they have to exhaust. Why, if -- if -- if Jewish victims of the Holocaust were deemed non-citizens, stripped of their citizenship at least in Germany, why should they then have to go exhaust remedies elsewhere?",Neil_Gorsuch,18-1447,22,2420.22,2440.985,2420,2441,4.983305419920891,0.0967047255311631,0.0009392446206074766,127.08879665595002,135.4258854679408,146.8323839587038,157.8268731845343,170.54730516116382,61,20.765000000000327
23,"Counsel, the doctrine that you're proposing of comity sounds like a little bit of this and a little bit of that. It -- it incorporates some concepts from exhaustion and also sounds like forum non conveniens. It also sounds like it incorporates some of the same considerations of foreign relations and friction with other countries that are addressed by the Foreign Sovereign Immunities Act itself. So would it subsume the need for some of these other doctrines? Like, what role would forum non conveniens still play if we do adopt the broader comity doctrine that you propose?",Amy_Coney_Barrett,18-1447,23,2581.995,2617.275,2582,2617,5.6287245133021235,0.12093812280901506,0.0014034123911084236,231.73942791006385,258.62053938239393,272.42079928303684,293.6647679174075,402.97052452027845,97,35.2800000000002
24,"-- can I interrupt just for one moment? In this case, the foreign country or one of its arms is one of the litigants. So isn't its concerns -- aren't its concerns taken into account in forum non conveniens doctrine?",Amy_Coney_Barrett,18-1447,24,2644.16,2657.995,2644,2658,5.6750401095459875,0.12134655629394812,0.0016420400566495572,232.60108629348872,267.74077300753,285.30470202322215,312.9293240034019,391.3846253460049,40,13.835000000000036
25,"Counsel, your -- your position is categorical. In other words, you don't think the international comity applies in any case. And yet it's -- given the nature of international relations, it's easy to envision cases where it would seem particularly inappropriate for United States courts to get involved in litigation. I don't know if this is one of them or -- or not. I mean, is there room for any kind of a safety valve under your theory where the -- the doctrine is -- while maybe not available in the normal course, is appropriate in particularly sensitive international relations cases?",John_G_Roberts_Jr,18-1447,25,2959.6,3003.075,2960,3003,5.274176436233477,0.2438198354756526,0.0010611733309799738,148.5384940785009,169.64319079487348,184.9972113558172,207.65234878997256,535.48154601506,101,43.47499999999991
26,"Thank you. A group of victims of apartheid sue -- maybe they're from Botswana -- they sue the South African government on a claim that fits within this for taking their property, et cetera. South Africa says: You don't understand. We don't have apartheid anymore, and we have a system for dealing with it. It's called the Truth and Reconciliation committee. Please don't mess up what we're trying to do, Judge, in New York. Dismiss the case or use comity. What's supposed to happen on your theory?",Stephen_G_Breyer,18-1447,26,3205.355,3246.015,3205,3246,5.2835974756171336,0.2204927093306344,0.0027403540526488835,134.21160793805373,174.61702870648207,200.5789474828077,239.22080632633435,290.45530049784753,87,40.659999999999854
27,"-- but my question is, fine, you think it don't exist -- it doesn't exist. So, when the people from Botswana sue on apartheid the South African government and the South African government says please don't do this, you're going to mess up our Truth and Reconciliation, the answer -- your first choice is to say, too bad, we go ahead with the suit anyway, is that right?",Stephen_G_Breyer,18-1447,27,3268.04,3289.38,3268,3289,5.430957487792965,0.4399001482719845,0.004050549085548372,159.49473099658528,172.11142563011367,184.9972113558172,254.17759331190004,681.2457969580914,68,21.340000000000146
28,"Hmm. Okay. Then what I'm doing, I'm reading to you, as you know, Professor Estreicher's four considerations that would go into comity. And so it seems to me that your -- at least your second choice is you agree with some but not others.",Stephen_G_Breyer,18-1447,28,3352.8,3368.655,3353,3369,5.500556501289932,0.3669365399398176,0.002134809518394644,160.10873741805707,190.14386161445177,221.27444703492776,266.58421797306573,548.1986074823253,44,15.855000000000018
29,"Counsel, I think you really do have to choose between two alternatives. Your primary argument is never, this doctrine doesn't exist, there are no circumstances in which a case could be dismissed based on comity abstention. And so, if there were a case at some time in the future where going forward would cause -- cause grave foreign policy problems, your answer has to be that's just too bad.",Samuel_A_Alito_Jr,18-1447,29,3430.99,3462.89,3431,3463,5.0916884336084465,0.3105443631174219,0.0027728982004731947,109.48114812872709,130.24771300981456,143.89430958116571,183.40354686608572,378.5117831222755,69,31.90000000000009
30,"Yeah, but there could be cases that don't -- where -- that don't fall within any of these doctrines that could have very serious foreign policy implications. I -- I mean, your argument might be right, but you have to -- either you have to say yes, even if it means war, even if it means very serious foreign policy problems, we want you to say never. Or you have your fallback argument, which is, well, maybe if the State Department comes in and says please do not go forward with this, it will cause terrible international repercussions. That's a fallback argument, but that argument negates your primary argument that this doctrine never existed and, therefore, it doesn't exist at this time.",Samuel_A_Alito_Jr,18-1447,30,3477.77,3521.13,3478,3521,5.385129537725078,0.4690386333437816,0.0024516740098811354,130.96955818123894,162.92073075152206,183.93170582347207,256.3905119070994,773.330754546717,122,43.36000000000013
31,"Well, you know, there is the do no harm principle. And the only issue that is before us, assuming that -- that you would prevail on the jurisdictional question, is whether this doctrine should be -- whether we should hold that this doctrine doesn't exist at all, can never be invoked under any imaginable circumstances. It could be that this is just a very, very narrow doctrine. All we would need to decide is it does exist in some form.",Samuel_A_Alito_Jr,18-1447,31,3557.885,3591.55999995,3558,3592,5.960757139063783,0.7611614153626164,0.0022395848760281114,145.61673020946387,178.6955271983718,291.9733833144849,905.7859682462729,1016.7103732476003,80,33.6749999499998
32,"Counsel, I'd like to follow up a little bit on Justice Alito's question, but my simple question to you is, again, hypothetically, if we were to rule that there is no international expropriation -- customary international law for expropriation from a national, do you also believe that we should address this comity issue, notwithstanding that we held there was no jurisdiction?",Sonia_Sotomayor,18-1447,32,3670.065,3702.52,3670,3703,5.541877455277583,0.1793071260601976,0.001467128229046523,188.23090565017245,219.99999999999997,257.13099468347406,291.9733833144849,369.9944227116344,61,32.45499999999993
33,"All right. Then one follow-up question to this. Assume that we find a never answer to be inappropriate, because we have at least two shipping cases, the Carolina and the Infanta, in which the -- in which 19th-century courts declined jurisdiction, at least, in part, out of concern for commercial relations between the U.S. and a foreign sovereign. So it does suggest some equity principles or -- or comity principles that have guided courts in the common law. So, if we never say never, how should we write it --",Sonia_Sotomayor,18-1447,33,3738.53,3780.245,3739,3780,5.467386263587872,0.18496340418838944,0.0018673843833191346,171.61434972294217,212.81375103604782,233.08188075904494,263.1411467822288,366.33963908005967,90,41.71499999999969
34,"Ms. Harrington, on much the same subject, I mean, just think about these cases particularly. The -- I think it's not yours, but the Hungary case in the Seventh Circuit which involved very similar claims. It had potential damages amounting to 40 percent of Hungary's GDP. So this is a suit that could essentially bankrupt a foreign nation. Now that seems as though it's screaming severe international friction. Why shouldn't we be able to acknowledge something like that?",Elena_Kagan,18-1447,34,3835.385,3866.415,3835,3866,5.430272062020448,0.22207518026558998,0.0012068203460107562,170.4686865206168,192.07585921722102,216.22053167995523,264.6655079380657,383.04224785029453,78,31.029999999999745
35,"That was going to be my next question, Ms. Harrington, because the SG tells us that, if we -- if we don't recognize this kind of abstention, then the government is going to be hampered in its efforts to encourage the establishment of -- of redress and compensation mechanisms for human rights violations. And in some countries, that has worked to at least some extent. So what's your answer to the Solicitor General's position on that score? And do you really think that we can treat Hungary differently because those efforts have not succeeded as well?",Elena_Kagan,18-1447,35,3920.49,3953.76,3920,3954,5.417504044779813,0.2076713551659479,0.0014018381467105839,177.66631669600923,193.74649219115264,214.97519305553408,248.37216905734888,385.7968199058813,96,33.27000000000044
36,"Good morning, Ms. Harrington. I'd -- I'd like to address a slightly different point that you've -- you've alluded to a couple of times. Normally, takings within a country are -- are subject to domestic takings laws. You've argued in this suit that the Holocaust and human rights forms an exception to that rule, but you've also pressed the point and alluded to it today that, even if that rule were normally to apply, it -- it wouldn't here because Germany and perhaps Hungary stripped citizenship from its Jewish victims during the Holocaust. That's a very interesting argument, but it's not developed much in this Court, and I'm just curious why and -- and what -- what we should do about it?",Neil_Gorsuch,18-1447,36,4063.17,4106.39,4063,4106,5.860018808046695,0.7466366078361569,0.0011731266228681369,105.92253117962683,139.59604235996233,484.0008364088419,566.5060507963412,865.7391791770781,122,43.220000000000255
37,"Good morning, Ms. Harrington. I think you agree that forum non conveniens survives the FSIA, so I take from that that the FSIA would not displace comity if a comity doctrine exists and existed at the time. And you've made important arguments, as have Professors Dodge and Gardner, that the doctrine doesn't exist. And I understand those, but put those aside for now. If the doctrine does exist, then the question's how to apply it. And I did not view it necessarily, again, assuming it exists, as requiring a case-by-case foreign policy or international friction evaluation. In part for reasons others have expressed, that would not be predictable. It would be hard for courts to do that, it wouldn't necessarily be equitable, given the number of courts who would be involved hearing similarly situated plaintiffs. Rather, I viewed that the doctrine at least as it's been articulating as reflecting a general foreign policy concern, and then the question becomes the particulars of the doctrine. And I had understood the argument to be that, if foreign defendants harm foreign parties in a foreign country and remedies are available in the foreign country, then American courts should usually abstain. So, again, if the doctrine exists, what is the problem with that kind of fairly bright-line principle that would not require a case-by-case evaluation of foreign policy interests?",Brett_M_Kavanaugh,18-1447,37,4132.52,4240.555,4133,4241,5.088163782756817,0.14191488143248895,0.0012249226077446992,131.5705733911144,146.8323839587038,156.9178572847897,175.62564499846297,227.25980259535982,225,108.03499999999985
38,"But that would lead -- if that applied the way you just described it, that would lead to a private defendant case and being -- the Court would abstain. In a country defendant case, the Court would not abstain, which seems unusual.",Brett_M_Kavanaugh,18-1447,38,4352.84,4369.44,4353,4369,5.240557543978706,0.16589062066246626,0.003972486354893423,144.84007891155912,153.33512376888294,204.0884103635021,213.73702705379327,233.59496800674913,42,16.599999999999454
39,"Good morning, Ms. Harrington. I have a question about the nature of this kind of comity doctrine especially as compared to forum non conveniens. So everybody agrees that forum non conveniens doctrine survives the enactment of the FSIA, and I'm wondering, why in your view? Is that because forum non conveniens doctrine is a background principle that's incorporated somehow into the statute itself, or is that because courts retain the power to develop it as a common law doctrine? And if the latter, why wouldn't they retain the power to develop a doctrine of comity like Hungary proposes here?",Amy_Coney_Barrett,18-1447,39,4382.36,4420.78,4382,4421,5.6352593280913545,0.1443132741682851,0.0018617266896440825,230.40470702053787,252.71363809934766,273.99891691894106,300.528856485967,413.3012214323703,99,38.42000000000007
40,"And let me ask you a question about the citizenship point. You know, you point out that some of the plaintiffs in the suit below were not Hungarian nationals and others have a claim to their citizenship having been severed by the genocide. Is that a claim that you raised below? As Justice Gorsuch pointed out, it's not one that's developed here, it wasn't part of the QPA. Did you raise that below or develop it all below and, if not, did you have to in order to preserve it?",Amy_Coney_Barrett,18-1447,40,4498.39,4526.485,4498,4526,5.696718987111097,0.24521782319813376,0.00190882030977184,243.00864833138257,264.6655079380657,278.7883336231537,305.78200836531414,958.4308297917872,90,28.094999999999345
41,"Is there -- it seems to me something anomalous in this situation. Mr. Smith has been in prison for years, exhausted every possible remedy. He's there because he violated crime X, which later we say that the government had no power substantively to create that crime, and then he can go to habeas under Teague and he gets out. But, here, where it seems like the same situation, the government had no power to make this a crime in this way, and Mr. Jones comes in, we put him in jail. Now is there an anomaly in that? And -- and I can't quite see how to work it out. I'd like to get your response.",Stephen_G_Breyer,20-437,0,479.895,534.04,480,534,5.158063524309218,0.30485776416521276,0.0022808589115168886,105.82461562344723,134.4520139485753,164.81377845643496,218.73289323986043,376.0481694847438,116,54.14499999999998
42,"You answered, Ms. Ross, Justice Thomas by saying that you don't see a constitutional issue here. But I do. You've given me a lot of potential mechanisms in which a -- in which an alien might be able to get a -- this order reversed, but I don't know that there's a legal opportunity to do that, meaning it all depends on a whole series of discretion. In Lewis, we found it significant that a convicted felon may challenge the validity of a prior conviction before obtaining a firearm. That's basically your point here, that there is an opportunity to do that, but I'm not clear on this record before us if that's the case. So should we be relying just on your representation, or is this one of the issues that hasn't been adequately addressed below that you, for that reason, you say we should not address Respondent's constitutional arguments?",Sonia_Sotomayor,20-437,1,779.84,854.13,780,854,5.472403682016357,0.18234331531932946,0.0023558523371173977,176.64303400994282,208.85526660911424,233.08188075904494,263.1411467822288,358.8402961181526,151,74.28999999999996
43,"-- the reality is that when this conviction happened, neither this circuit nor any court had yet ruled in his favor. And so to say that whether it's him or someone who did raise this before the agency and had taken it to judicial review and the circuit had said no, are all those people -- if they can prove that they have no chance to void this administrative order because it was illegally entered, wouldn't they have a separate due process argument? Not a constitutional avoidance argument in -- but a separate due process argument?",Sonia_Sotomayor,20-437,2,888.235,933.68,888,934,5.419781245247954,0.14707929256754873,0.0027077812712326937,174.61411571650194,202.90956258890662,222.55627686642293,248.37216905734888,305.78200836531414,96,45.444999999999936
44,"Ms. Ross, I'd like to talk about this word ""available"" and give you a hypothetical. Suppose that the immigration judge in this case had told the alien, you know, there -- there just isn't an administrative procedure that you can take my ruling to, this is it, this is the end of the line. What would happen in that case? Would -- would -- would -- would this provision be satisfied?",Elena_Kagan,20-437,3,986.045,1015.885,986,1016,5.446998296727667,0.1903474011112697,0.002210057954347336,181.46302172700868,204.08500572708806,219.99999999999997,250.1727594587872,401.419317188413,71,29.840000000000032
45,"So, if -- if -- if I just understood you, you said it gets close to Ross. I mean, does it -- does it get in Ross? Is that a third -- the -- the -- the -- the -- the -- Ross's third category, would that -- would that, in fact, be unavailable at that point?",Elena_Kagan,20-437,4,1046.78,1061.93,1047,1062,5.45716603790369,0.16098689074334227,0.0017821554047790684,179.62718259070604,207.65234878997256,227.75828324510303,256.39265669364204,327.91889338958214,57,15.150000000000091
46,"-- suppose that such a misrepresentation would make it unavailable. But instead -- now -- now let me switch to another hypothetical and say that the immigration judge doesn't say you have no place to take this, but instead the immigration judge says, and quite wrongly: Your crime is a crime of violence, and there is no way that you will receive any relief from anybody ever again.",Elena_Kagan,20-437,5,1087.33,1112.66,1087,1113,5.391583816304156,0.14500886813482794,0.0017551124427454161,169.3696103881326,198.27510177438265,214.97519305553408,238.52991146631203,318.637209852706,68,25.330000000000155
47,"So how is that distinguishable from this case? Because, in this case, there's just as much an error in the first -- from the IJ. Now it's true that the IJ thought and -- and, you know, in good faith, obviously, that he was faithfully applying precedent. But that precedent was overturned, and -- and that meant that even when he was doing what he was doing, the law was -- was -- was not on the IJ's side. So how is that any different?",Elena_Kagan,20-437,6,1143.895,1173.15,1144,1173,5.530462782155452,0.20197561599146382,0.001848891921376567,192.63059450929475,214.97519305553408,245.51937137864914,285.30470202322215,429.9503861110682,85,29.25500000000011
48,"-- there are -- there are a lot of areas where, you know, the door closes and you lose the right to go back and challenge prior determinations. You know, the felon-in-possession rules, some recidivist prosecutions. And I'm just wondering, the void ab initio, you seem to be arguing that whenever there is some kind of change or clarification in the law, you do go back and reopen everything. Now, as counsel noted in response to Justice Alito's question, there are avenues in -- in this case, this sort of case, to do that. But your proposition seems to me to be limited to, you know, we now know this was wrong, so we have to go and unscramble the -- unscramble the eggs.",John_G_Roberts_Jr,20-437,7,1476.86,1531.23999995,1477,1531,5.269598560274546,0.25556423625044017,0.0012247299862255584,151.97539617341272,169.64319079487348,181.8190699939266,201.74088950502764,532.5207651268314,124,54.37999995000018
49,"How, in your opinion, at the risk of repetition, do you get out of this? The -- the -- imagine a statute which is absolutely clear. It says, Mr. Jones, you're about to be deported and you will be under these circumstances. If the judge looks at your state record, he looks at that document, and if it says in that document you were convicted of DUI, and you can attack that conviction if it is entered within the last 10 years, but earlier than that it's sacrosanct. I mean, can't the government deport somebody? All he had to do was look at the record. If it's there, we don't care if it's good, bad, indifferent, or whatever it is, we don't want to go back into it, you're now deportable. Well, that's what they've done here with an exception that favors you. How do we get out of that?",Stephen_G_Breyer,20-437,8,1787.57,1859.53000005,1788,1860,5.449283895485865,0.4095123851176152,0.0028208434160279885,111.9227661312955,179.73069985652097,214.97519305553408,303.1478539219133,497.7227257447036,150,71.96000004999996
50,"I see where you're going. I see where you're going. Now I have another question. I have another question. I've got -- I'm -- I'm sorry, I -- I'm adding to your answer, but I see where you're going. All right. If you lose, I've tried to find out how many people are there likely that would be subject to orders based on crimes of violence or whatever that term is and in your client's position, and I get under a thousand. And it must be a very small percentage of those, maybe one, maybe two, maybe three people like your client who fall within the category of later on it was determined it wasn't a crime of violence, like driving under the influence. So does your case affect more than a handful of people? And if it does not, does the Attorney General or is there a route that you could get relief, administrative relief, because your client has lived here such a long time?",Stephen_G_Breyer,20-437,9,1896.78,1961.39,1897,1961,5.246660042691795,0.35405529767729144,0.002161331687041102,115.23456165321245,147.682975305829,170.6259238017108,225.79437415042938,458.0718932968982,166,64.61000000000013
