duration,end,end_idx,file,line,onset_count,onset_rate,onset_time_diff_mean,onset_time_diff_var,pitch_25pct,pitch_2pct,pitch_50pct,pitch_75pct,pitch_98pct,pitch_log_diff_variance,pitch_log_mean,pitch_log_stdev,speaker,speaker_role,start,start_idx,text,word_count,word_rate,BERT-GS_Scores
28.0,992.0,15872000,19-123.wav,54,77.0,2.75,0.3650526316,0.1199475235,227.4303354492,200.5789474828,247.6569098427,272.420799283,341.6576854197,0.001557584,5.5153615199,0.14012551380000002,Sonia_Sotomayor,scotus_justice,964.0,15424000,"-- I'm sorry, counsel. I don't have much time, but just one last point. What is dangerous is the idea that a contractor with a religious belief could come in and say: Exclude other religions from being families, certifying families. Exclude someone with a disability. How do we avoid that? Or exclude interracial couples.",54,1.9285714285714286,0.41399705410000004
24.08,1041.72,16667520,19-123.wav,60,53.0,2.2009966777,0.4553846154,0.1822174675,202.9095625889,172.0131622613,223.8455322626,262.392110432,318.03246331,0.0007098351000000001,5.4437402141,0.1638983317,Sonia_Sotomayor,scotus_justice,1017.64,16282240,"-- what does that have to do with certifying a family? Meaning those are two different functions. The certification process is who's eligible, and they don't require someone to have -- to be married even, same-sex or not. That's different than placing a child, which is governed by the best interests of the child.",54,2.242524916943522,-0.7139757276
39.6,1099.0,17584000,19-123.wav,64,131.0,3.3080808081,0.3020307692,0.0749883683,214.9751930555,171.1794423176,235.790161758,263.1411467822,372.1377785978,0.0019934379,5.4954473623,0.1827747136,Elena_Kagan,scotus_justice,1059.4,16950400,"Good morning, Ms. Windham. I'd like to take you back to the Chief Justice's opening questions and give you a hypothetical. Suppose that there's a state and it doesn't want to operate its prisons itself, so it contracts with private organizations to do so. And in the contract, there's a provision that says that no employee can use drugs of any kind. And -- and a -- a -- a -- a group says -- that wants to operate a prison says it wants an exemption for peyote use. What would be the result in that case?",97,2.4494949494949494,-0.5522985458
34.0,1145.0,18320000,19-123.wav,66,85.0,2.5,0.37447619050000003,0.1084167256,225.1422562393,201.740889505,248.3721690573,273.9989169189,936.2274476747,0.0012103678,5.5631439587,0.2643631963,Elena_Kagan,scotus_justice,1111.0,17776000,"Well, you know, I guess the question that I'm trying to get at is here's the government in its capacity as a contractor saying, you know, something -- a condition that's extremely relevant to the contract in its view, and shouldn't the government have leeway to do that, to just say, you know, it doesn't matter why you want to use peyote, whether it's religious or anything else; we're just going to say there -- there should be no peyote use and no other drug use.",86,2.5294117647058822,0.6272003055
27.24,1198.24,19171840,19-123.wav,70,91.0,3.3406754772,0.2954666667,0.0603716267,213.7370270538,186.3666502521,230.4047070205,253.0796269025,442.5488940699,0.001409197,5.4828943135,0.18859014500000001,Elena_Kagan,scotus_justice,1171.0,18736000,"-- of things that governments do now. If you would excuse me, Ms. Windham, just to put another question on the table. I mean, there are a lot of things that governments do now that traditionally were done by private organizations, religious organizations. I mean, you could go through, you know, youth homes or homeless shelters. A lot of old philanthropy is now regulated and conducted by the government. Why should that matter?",73,2.679882525697504,0.1212057844
14.4,1268.0,20288000,19-123.wav,76,60.0,4.1666666667,0.2402711864,0.0354884688,181.8190699939,179.2959273401,302.2748450394,899.2723009805,916.3106942306,0.0007364969,5.9982059205,0.7102822492,Neil_Gorsuch,scotus_justice,1253.6,20057600,"Good morning, counsel. What do we do with the fact that the City seems to be representing to us here and now that the Fair Practices Ordinance is binding of its own force and that the department can't offer any exemptions?",41,2.8472222222222223,-1.202259779
65.44,1461.0,23376000,19-123.wav,88,174.0,2.6589242054,0.36642774570000003,0.0860446032,163.8645209435,150.264428243,179.7306998565,225.1422562393,2038.6037205775,0.0004487364,5.7379714079,1.0390516357,Brett_M_Kavanaugh,scotus_justice,1395.56,22328960,"Thank you, Mr. Chief Justice. And good morning, Ms. Windham. I want to follow up on some of Justice Alito's questions and just make sure I have some of the facts down pat here. First, as I understand it, Philadelphia contracts with about 30 private foster agencies to find and train and support foster families, and Catholic Social Services is just one of them, as I understand it. And, second, if a same-sex couple ever came to Catholic Social Services, Catholic Social Services would refer that couple to another agency that works with same-sex couples so that the couple could participate and be a foster -- foster parents. And then, third, no same-sex couple has ever come to Catholic Social Services for participation in this program, and, therefore, Catholic Social Services' policy has never actually denied any same-sex couple the opportunity to be foster parents in Philadelphia. I just want to make sure those three facts are accurate, and you can elaborate as you see fit.",166,2.5366748166259168,-0.036437530100000004
23.16,1540.0,24640000,19-123.wav,92,81.0,3.4974093264,0.2776,0.06169024,261.6255653006,238.5299114663,278.7883336232,305.7820083653,371.2804362434,0.0008197250000000001,5.6468073746,0.11058136460000001,Amy_Coney_Barrett,scotus_justice,1516.84,24269440,"Good morning, Ms. Windham. So you just kind of indicated that -- you know, that maybe Smith shouldn't have been applied here, and you argue in your brief that Smith should be overruled. But you also say that you win even under Smith because this policy is neither generally applicable nor neutral. So, if you're right about that, why should we even entertain the question whether to overrule Smith?",69,2.9792746113989637,0.1554151773
38.12,1654.12,26465920,19-123.wav,96,137.0,3.5939139559,0.2745882353,0.050455418700000004,251.2581146484,226.3682379122,264.6655079381,286.5442670171,387.6276678237,0.0008272479,5.6017572821,0.1167399263,Amy_Coney_Barrett,scotus_justice,1616.0,25856000,"Last question: If we did overrule Smith or, frankly, even if we didn't, let's take this out of the same-sex marriage context and put it in the interracial marriage context. Justice Sotomayor was indicating an example like this. What if there was an agency who believed that interracial marriage was an offense against God and, therefore, objected to certifying interracial couples as foster families? Would they be entitled to an exemption and, if so, how is that distinguishable from -- or, if not, how is that distinguishable from CSS's refusal to certify children to couples in same-sex marriages?",98,2.5708289611752364,-0.2177748978
24.08,1816.88,29070080,19-123.wav,103,44.0,1.8272425249,0.5573953488,0.3059727507,192.6305945093,169.6431907949,220.0,238.5299114663,937.5124046972,0.0010112213,5.4486735122,0.3354110804,John_G_Roberts_Jr,scotus_justice,1792.8,28684800,"Counsel, you rely, as does the Petitioner, on contract provision 3.21, which bans a list of objectionable practices but then has at the end this ""unless an exception is granted by the Commissioner in his or her sole discretion."" Has an exception ever been granted under that provision?",48,1.993355481727575,-1.2626665831000001
-1.0,1885.0,30160000,19-123.wav,105,,,,,,,,,,,,,John_G_Roberts_Jr,scotus_justice,1886.0,30176000,"The federal government, of course, has an extensive contracting regime, and it draws distinctions, I think, between -- on the basis of, for example, disability, minority ownership, and all that. How does -- do contract rules have to be neutral and generally applicable across the board even with respect to protected status?",52,-52.0,-0.5945923924000001
58.2,1978.6,31657600,19-123.wav,112,148.0,2.5429553265,0.37899319730000003,0.1209671496,136.0142710981,120.5812580491,162.4515535713,186.0688892989,935.0594512071,0.001287076,5.1369464811,0.3566473841,Stephen_G_Breyer,scotus_justice,1920.4,30726400,"Very well. I'd like to follow up on two questions that have been asked, the questions of the interracial marriage. Everything is the same except it's interracial. The response so far from your side has been, well, that's a compelling interest. This isn't. Think of other examples. The government wants to contract to a food distributor to supply food on all the military bases, and because they are Orthodox Jews, they want nothing to do with ham and don't want to let anybody else -- they want nothing to do with it. Or consider a -- a religion which says we're bidding on this contract for local transportation and we want men and women to sit separately, or we want women to wear head scarves. Now, in a contracting basis, is it your opinion that the government just has to do that, has to give into the religious belief, or not?",151,2.594501718213058,0.43165993690000004
15.6,2031.48,32503680,19-123.wav,114,42.0,2.6923076923,0.34029268290000003,0.0679714265,145.3560755531,129.3851783684,163.8645209435,177.4104960245,457.8914690528,0.0016349443,5.1590909532,0.3200218326,Stephen_G_Breyer,scotus_justice,2015.88,32254080,"We can get other people to supply the ham, they say. And so they -- that's all right. But we can't do anything about this, the -- the -- the head scarves, and we can't do anything about the interracial marriage. So, in your idea, the -- well, how -- how does that work out?",55,3.5256410256410255,-0.1427222639
25.8,2072.4,33158400,19-123.wav,118,89.0,3.4496124031,0.2869090909,0.061264264500000006,153.7766927597,126.3568190497,168.6661179137,192.9095689298,269.6046815026,0.0007353375,5.174013057,0.2161344497,Stephen_G_Breyer,scotus_justice,2046.6,32745600,"I'm sorry. I want to interrupt you right here because now two of you have said this, that we should write an opinion which says discrimination on the basis of race, constitutionally speaking, is different than discrimination on the basis of gender, on the basis of religion, on the basis of nationality, on the basis of homosexuality, all right? Is that the opinion you want us to write?",68,2.635658914728682,-0.3018926382
36.56,2202.0,35232000,19-123.wav,125,94.0,2.5711159737,0.3774623656,0.1513220765,129.87208477,122.0526419275,144.3098914881,169.8888740466,322.1464783404,0.0010647273,5.0569401899,0.2469078144,Samuel_A_Alito_Jr,scotus_justice,2165.44,34647040,"We don't reach constitutional questions as a general matter unless we -- unless we have to. That's a strong policy. But what do the arguments in this case about -- the complicated arguments about exemptions and the new arguments about contracting, the question whether Catholic Social Services is more like a regular licensee or more like a contractor, say about the stability of the Employment Division versus Smith precedent?",69,1.887308533916849,-0.6002930403
52.0,2309.0,36944000,19-123.wav,129,119.0,2.2884615385,0.42277966100000003,0.1548991209,215.9091970238,180.5071820198,246.9416506281,271.2440280227,366.6345439874,0.0012119805,5.5076183887,0.17302918150000002,Sonia_Sotomayor,scotus_justice,2257.0,36112000,"Counsel, I've always thought that a compelling state interest that motivated our holdings in racial discrimination cases was not merely that race was important but that the burden on the people who are rejected because of race is an interest that the state could seek to protect, that a rejection on the basis of race or any protected category creates a stigma on that person and that it's a compelling state interest for the state to have an anti-discrimination law on the basis of protected classes. Are you -- are you diminishing that as a compelling state interest?",98,1.8846153846153846,-0.406876713
29.0,2365.0,37840000,19-123.wav,133,61.0,2.1034482759,0.4309333333,0.1848137956,208.8552666091,186.0688892989,246.9416506281,278.7883336232,402.6581543753,0.0013134169,5.5105587223,0.1911111713,Sonia_Sotomayor,scotus_justice,2336.0,37376000,"-- an independent contractor with the City. And the City has said to that couple: We won't discriminate against you, but CSS, our independent contractor, doesn't want to serve you, doesn't want to certify you, not on the basis of any of the criteria that the state has set forth. You might meet every criteria the state sets forth. But they're imposing an additional criteria.",65,2.2413793103448274,-0.0980895534
33.68,2407.68,38522880,19-123.wav,137,77.0,2.2862232779,0.4387368421,0.1589845097,211.2820479112,177.340881694,226.4464920616,257.1309946835,346.5368854325,0.0014618141000000001,5.4566547451,0.1643767411,Sonia_Sotomayor,scotus_justice,2374.0,37984000,"-- I suspect that's part of -- part of that is just natural, meaning people gravitate to agencies that are known by their community. And so I am sure -- and this is one of the arguments that was resolved against the Petitioner here -- it's not that the agency has -- that the City has agencies who cater only to one community. It's that some agencies live in a particular community, and so more people will come to it from that community.",83,2.46437054631829,0.29996722940000003
39.24,2507.0,40112000,19-123.wav,140,127.0,3.2364933741,0.3024761905,0.0633515828,207.65234879,188.2309056502,223.8455322626,267.7407730075,384.9092139099,0.0011588715,5.4632138411,0.1747262273,Elena_Kagan,scotus_justice,2467.76,39484160,"Good morning, Mr. Mooppan. If I understood you correctly, you said that it is a compelling state interest to eradicate racial discrimination, but it is not a compelling state interest to eradicate discrimination on the basis of sexual orientation. And I was wondering where in this scale that you're using would discrimination on the basis of gender come. Would -- would that be a compelling state interest? So, for example, if there's an agency that refuses to employ women, would the state have to contract with that agency?",88,2.2426095820591234,-0.3196915388
17.3,2607.2,41715200,19-123.wav,154,56.0,3.2369942197,0.2885818182,0.041909188800000004,210.0651528603,181.8190699939,229.0776735577,251.2581146484,278.7883336232,0.0019697919,5.4335464186,0.1152356407,Elena_Kagan,scotus_justice,2589.9,41438400,"You said -- excuse me, Mr. Mooppan. You said that the City of Philadelphia could not do the same thing with respect to race. And the same supposed exceptions for -- are there too, ready to undermine it, but you said that that would come out differently. And I'm seeking to find out a reason why.",56,3.236994219653179,0.1099462286
31.52,2692.72,43083520,19-123.wav,164,130.0,4.1243654822,0.24235658910000002,0.052355376700000004,877.4657864797,848.0827077603,885.0977881397,892.803618258,900.5690249572,0.0001481397,6.7820223535,0.0184761659,Neil_Gorsuch,scotus_justice,2661.2,42579200,"Counsel, can we circle back to the question whether Catholic Social Services should be treated as an employee or agent and whether the City can effectively take over a -- a service that had been provided privately for -- for some time, and -- and taken over so much so that it regulates it pervasively and -- and this analysis shouldn't apply at all. Can -- can you address that concern?",71,2.25253807106599,-0.6388988495
18.52,2795.16,44722560,19-123.wav,174,89.0,4.8056155508,0.2076363636,0.037422413200000004,,,,,,,,,Neil_Gorsuch,scotus_justice,2776.64,44426240,All right. Let -- let -- let's deal with the exemptions. What do we do with the Fair Practices Ordinance and the argument by the City -- and we normally take their representations about their law with -- with some -- some respect -- that the Fair Practices Ordinance applies by its own force and that there are no exemptions here?,61,3.2937365010799136,-0.7852023244
29.04,2854.44,45671040,19-123.wav,178,85.0,2.9269972452,0.3405714286,0.0976613878,165.7685349622,155.563491861,180.7718692089,207.65234879,2010.064917187,0.0007337531,5.4322463787,0.7090922378000001,Brett_M_Kavanaugh,scotus_justice,2825.4,45206400,"Good morning, Mr. Mooppan. What if Catholic Social Services were the only private agency in Philadelphia that performed this service? Meaning that same-sex couples in Philadelphia simply could not become foster parents, and let's also assume there are no exemptions or other statements that are relevant to the analysis. In that circumstance, would there be any different analysis or result in a case like this?",65,2.2382920110192837,-0.7548128963
41.88,2943.88,47102080,19-123.wav,182,110.0,2.6265520535,0.3825321101,0.1200125242,257.1309946835,193.7464921912,277.1826309769,298.797937642,391.9954359817,0.0009890845,5.6221520041,0.1446264583,Amy_Coney_Barrett,scotus_justice,2902.0,46432000,"Good morning. So I'm wondering how we decide whether a law is generally applicable in the -- in the relevant respect. So you said that the City recognizes a slew of exceptions, but none of them are for the same-sex anti-discrimination requirement. So it's not quite the same thing as granting an exemption, say, for, like, Sunday Sabbath observance but not Saturday Sabbath observance. That's a more apples-to-apples comparison. So how do we go about identifying what the, you know, relevant factor is in deciding whether a law is generally applicable?",91,2.1728748806112703,-0.4813059568
25.36,3031.4,48502400,19-123.wav,184,85.0,3.3517350158,0.2853333333,0.07804850790000001,251.2581146484,235.790161758,266.1986996282,283.6614678567,342.7937920405,0.0007858144,5.597438986,0.0990870992,Amy_Coney_Barrett,scotus_justice,3006.04,48096640,"What if the ordinance said expressly that there shall be no exemptions permitted with respect to the same-sex marriage anti-discrimination requirement, period, and then had another section which permitted some exceptions as the City employs here, like in considering race, for example, in the placement of a child? Would that be generally applicable then? The same-sex anti-discrimination requirement, I mean.",60,2.365930599369085,-0.8030051589
28.36,3341.92,53470720,19-123.wav,195,89.0,3.1382228491,0.30981818180000004,0.0662236033,187.1467754092,163.8645209435,202.9095625889,237.1560802694,416.3255036565,0.001467456,5.3665960192,0.2025625728,John_G_Roberts_Jr,scotus_justice,3313.56,53016960,"Well, I suppose you -- there are certainly different contexts, but the question is at least in certain contexts, you are comfortable with the concept -- concept of discriminating in this program on the basis of sexual orientation, but you have a very strict rule, you've said there will be no exceptions to CSS's similar taking into account of the sexual orientation status of the would-be parent -- foster parents.",70,2.4682651622002822,0.0257723629
38.2,3432.24,54915840,19-123.wav,200,114.0,2.9842931937,0.3355752212,0.09181773110000001,92.6325654208,91.2149824726,99.7135123143,101.8955724713,108.7365422388,8.90386e-05,4.5963157478,0.0588397505,Clarence_Thomas,scotus_justice,3394.04,54304640,"Thank you, Mr. Chief Justice. Mr. Katyal, the -- you place, obviously, in your briefs and your argument today a lot of reliance on the fact that -- on your -- your point that CSS is a contractor. Wouldn't -- would -- would your analysis of this case differ if, rather than receiving funds from the City or contracting with the City, CSS was a private organization that was regulated, solely regulated, as opposed to the contractual relationship?",78,2.0418848167539267,-0.8179755807
20.44,3520.6,56329600,19-123.wav,202,58.0,2.8375733855,0.35312280700000004,0.0877753007,99.1375508872,97.2997436599,105.0325764301,121.349670438,256.7225132416,0.00035926130000000004,4.7963064824,0.31976786150000003,Clarence_Thomas,scotus_justice,3500.16,56002560,Could -- just -- I -- I'd like to get one question in before my time expires. Don't you think it's in the best interests of the child to also have a pool that is -- that is beneficial to the child? I don't understand why that isn't also in the best interests of the child.,56,2.73972602739726,-0.13356834650000002
78.92,3633.96,58143360,19-123.wav,206,201.0,2.5468829194,0.38720000000000004,0.17353728000000002,171.3672432426,124.6321141835,199.4236977542,244.4588057359,475.7689371848,0.0017476338,5.342764663,0.2889086044,Stephen_G_Breyer,scotus_justice,3555.04,56880640,"Yes. What's actually bothering me quite a lot about this case is I think that no family has ever been turned down by this agency. Indeed, none has ever applied, no gay family, no gay couple. And the disagreement seems to be whether they now have to sign a piece of paper that says if there were a gay couple, we might have to look into whether they're qualified. And you're willing to have them say, but taking gay into account, you don't have to take it into account at all, but they don't want to do that. Now that seems to me a very narrow ground for deciding a case that has enormous implications. Could you not say, hey, we think if there ever were a gay couple and it really was a problem, you'd have to do something about it, like look into it and don't say gay? And they say: We don't even want to do that, but it's never come up. I mean, the natural thing for me would be to say, okay, you say what you want, we'll say what we want, and if it ever comes up, we'll deal with it. But it never has. Now is there any way that that has anything to do with how we would decide this case?",219,2.774961986822098,1.217887044
24.8,3745.96,59935360,19-123.wav,209,78.0,3.1451612903,0.3179220779,0.0945095524,162.9207307515,136.5903294817,195.4332860967,275.1893616027,362.088282826,0.0018158006,5.3505569879,0.30369633890000003,Samuel_A_Alito_Jr,scotus_justice,3721.16,59538560,"In your brief in opposition, when you were trying to persuade us not to take this case, you represented that the City had adopted an Exemption Waiver Committee ""to ensure that in the future any requests for a religious exemption of the sort at issue here would be directed to the waiver exemption committee and handled through the procedures that it establishes."" Page 15. Was that accurate?",67,2.7016129032258065,-0.9468175769
19.08,3786.08,60577280,19-123.wav,211,56.0,2.9350104822,0.33629090910000004,0.0842983881,158.7411549598,130.8042433114,183.9317058235,195.4332860967,365.7446743028,0.0008508960000000001,5.2369662379,0.23779923700000002,Samuel_A_Alito_Jr,scotus_justice,3767.0,60272000,"Well, the plain meaning of that statement is that if CSS or another religious organization came to the City and said that we do not -- it is contrary to our religious beliefs to certify a same-sex couple, there would be consideration of an exemption.",45,2.358490566037736,0.1513611674
35.84,3855.4,61686400,19-123.wav,217,105.0,2.9296875,0.3372307692,0.0833560237,161.9823763911,128.2693042312,221.2744470349,258.6205393824,1083.4070837435,0.001284842,5.5351610521,0.6420724902,Samuel_A_Alito_Jr,scotus_justice,3819.56,61112960,"-- if that's the City's policy, then the statement that I just read seems to me to be quite misleading, but I'll move on from that. Look, if we -- if we are honest about what's really going on here, it's not about ensuring that same-sex couples in Philadelphia have the opportunity to be foster parents. It's the fact that the City can't stand the message that Catholic Social Services and the Archdiocese are sending by continuing to adhere to the old-fashioned view about marriage. Isn't that the case?",89,2.4832589285714284,1.4083898067
43.12,3931.48,62903680,19-123.wav,219,148.0,3.4322820037,0.2842993197,0.0501901689,151.1349012204,127.9583014651,169.1546543543,213.7370270538,926.9577116403,0.0013399384,5.2769055059,0.4554078548,Samuel_A_Alito_Jr,scotus_justice,3888.36,62213760,"Well, as far as the record reflects, no -- what Catholic Social Services has done has not denied any same-sex couple the opportunity to be foster parents. And because they would refer such a couple, if one were to come to them, to one of the many agencies that is willing to -- to do what is necessary for them, there's no realistic chance that that is ever going to happen. But the City, nevertheless, is willing to cut them off from participating -- participation in this program, even if what that means is that there will be foster children in Philadelphia -- there will be children in Philadelphia who will be denied the opportunity to have foster parents. That's what the record shows, isn't it?",126,2.9220779220779223,0.8128215075
43.24,4115.0,65840000,19-123.wav,226,109.0,2.5208140611000003,0.3937777778,0.145606321,205.2672581381,174.978266258,245.5193713786,277.1826309769,388.9296077569,0.0017424435000000002,5.5009988527,0.20606353870000002,Sonia_Sotomayor,scotus_justice,4071.76,65148160,"Going to that issue in terms of tolerance, because that seems to be part of the questioning of some of my colleagues, and you're addressing it by saying there's tolerance in their work in other areas, they're receiving a tremendous amount of money for their work with foster children in other ways. But looking at this under Smith, that pool, what did -- when you say there's two different pools, one is the pool of can you become an eligible family, and then there's the pool of placing a child. How do you see Smith addressing that?",97,2.2432932469935243,-0.2643574476
27.92,4195.84,67133440,19-123.wav,228,71.0,2.5429799427,0.3794285714,0.133303902,213.1215097086,181.8190699939,242.699340876,278.7929844936,1090.6961178407,0.0014239205000000001,5.6364255298,0.5048294078,Sonia_Sotomayor,scotus_justice,4167.92,66686720,"Has any parent been, other than disability, but that's because they can't meet certain criteria that's independent of their disability, they can't do certain things for the child which are required, but has there ever been an agency that has or an exemption granted on the basis of a protected characteristic?",51,1.8266475644699138,-0.5639749169
36.0,4252.92,68046720,19-123.wav,232,113.0,3.1388888889,0.316,0.0855062857,205.2672581381,189.8916143521,226.4464920616,254.1775933119,421.2985249695,0.0008812277000000001,5.4634292531,0.1864125106,Elena_Kagan,scotus_justice,4216.92,67470720,"Mr. Katyal, I'm concerned about Section 3.21 of the contract. So the 2019 version of the contract says -- and I'm quoting here -- ""that an agency shall not reject prospective foster or adoptive parents for services based on sexual orientation unless an exception is granted by the Commissioner in his or her sole discretion."" So why isn't that exactly the kind of exemption that CSS wants here? And why doesn't its presence, you know, undermine this -- the -- the state's purported interests?",84,2.3333333333333335,0.1439810991
21.8,4287.32,68597120,19-123.wav,234,84.0,3.8532110092,0.258313253,0.0432000465,234.4321103583,192.6305945093,260.8721391133,304.0208335929,1139.6892939971,0.0015862733000000001,5.6237246586000005,0.31813501450000004,Elena_Kagan,scotus_justice,4265.52,68248320,"Well, let's say that that's true, Mr. Katyal, I mean, that no exemption has ever been granted under that provision. I mean, I read Smith and Lukumi to say that you -- you can't get out of it so easily, that as long as there is an exemption, as long as it exists, as long as you could rely on it in the future, that there is not neutrality here.",70,3.2110091743119265,0.5163524747
