,Case,Spkr,Start,End,Speech,BERT-GS_Scores
36,18-1447,Brett_M_Kavanaugh_,4132.52,4240.555," Good morning, Ms. Harrington. I think you agree that forum non conveniens survives the FSIA, so I take from that that the FSIA would not displace comity if a comity doctrine exists and existed at the time. And you've made important arguments, as have Professors Dodge and Gardner, that the doctrine doesn't exist. And I understand those, but put those aside for now. If the doctrine does exist, then the question's how to apply it. And I did not view it necessarily, again, assuming it exists, as requiring a case-by-case foreign policy or international friction evaluation. In part for reasons others have expressed, that would not be predictable. It would be hard for courts to do that, it wouldn't necessarily be equitable, given the number of courts who would be involved hearing similarly situated plaintiffs. Rather, I viewed that the doctrine at least as it's been articulating as reflecting a general foreign policy concern, and then the question becomes the particulars of the doctrine. And I had understood the argument to be that, if foreign defendants harm foreign parties in a foreign country and remedies are available in the foreign country, then American courts should usually abstain. So, again, if the doctrine exists, what is the problem with that kind of fairly bright-line principle that would not require a case-by-case evaluation of foreign policy interests?
",0.3505662679672241
37,18-1447,Brett_M_Kavanaugh_,4352.84,4369.44," But that would lead if that applied the way you just described it, that would lead to a private defendant case and being the Court would abstain. In a country defendant case, the Court would not abstain, which seems unusual.
",-0.05857513099908829
38,18-1447,Amy_Coney_Barrett_,4382.36,4420.78," Good morning, Ms. Harrington. I have a question about the nature of this kind of comity doctrine especially as compared to forum non conveniens. So everybody agrees that forum non conveniens doctrine survives the enactment of the FSIA, and I'm wondering, why in your view? Is that because forum non conveniens doctrine is a background principle that's incorporated somehow into the statute itself, or is that because courts retain the power to develop it as a common law doctrine? And if the latter, why wouldn't they retain the power to develop a doctrine of comity like Hungary proposes here?
",-0.702256977558136
39,18-1447,Amy_Coney_Barrett_,4498.39,4526.485," And let me ask you a question about the citizenship point. You know, you point out that some of the plaintiffs in the suit below were not Hungarian nationals and others have a claim to their citizenship having been severed by the genocide. Is that a claim that you raised below? As Justice Gorsuch pointed out, it's not one that's developed here, it wasn't part of the QPA. Did you raise that below or develop it all below and, if not, did you have to in order to preserve it?
",-0.4641868472099304
40,20-437,Stephen_G_Breyer_,479.895,534.04," Is there it seems to me something anomalous in this situation. Mr. Smith has been in prison for years, exhausted every possible remedy. He's there because he violated crime X, which later we say that the government had no power substantively to create that crime, and then he can go to habeas under Teague and he gets out. But, here, where it seems like the same situation, the government had no power to make this a crime in this way, and Mr. Jones comes in, we put him in jail. Now is there an anomaly in that? And and I can't quite see how to work it out. I'd like to get your response.
",0.7371178269386292
41,20-437,Sonia_Sotomayor_,779.84,854.13," You answered, Ms. Ross, Justice Thomas by saying that you don't see a constitutional issue here. But I do. You've given me a lot of potential mechanisms in which a in which an alien might be able to get a this order reversed, but I don't know that there's a legal opportunity to do that, meaning it all depends on a whole series of discretion. In Lewis, we found it significant that a convicted felon may challenge the validity of a prior conviction before obtaining a firearm. That's basically your point here, that there is an opportunity to do that, but I'm not clear on this record before us if that's the case. So should we be relying just on your representation, or is this one of the issues that hasn't been adequately addressed below that you, for that reason, you say we should not address Respondent's constitutional arguments?
",0.14360959827899933
42,20-437,Sonia_Sotomayor_,888.235,933.68," the reality is that when this conviction happened, neither this circuit nor any court had yet ruled in his favor. And so to say that whether it's him or someone who did raise this before the agency and had taken it to judicial review and the circuit had said no, are all those people if they can prove that they have no chance to void this administrative order because it was illegally entered, wouldn't they have a separate due process argument? Not a constitutional avoidance argument in but a separate due process argument?
",0.17669636011123657
43,20-437,Elena_Kagan_,986.045,1015.885," Ms. Ross, I'd like to talk about this word ""available"" and give you a hypothetical. Suppose that the immigration judge in this case had told the alien, you know, there there just isn't an administrative procedure that you can take my ruling to, this is it, this is the end of the line. What would happen in that case? Would would would would this provision be satisfied?
",-0.8093629479408264
44,20-437,Elena_Kagan_,1046.78,1061.93," So, if if if I just understood you, you said it gets close to Ross. I mean, does it does it get in Ross? Is that a third the the the the the Ross's third category, would that would that, in fact, be unavailable at that point?
",-1.243269443511963
45,20-437,Elena_Kagan_,1087.33,1112.66," suppose that such a misrepresentation would make it unavailable. But instead now now let me switch to another hypothetical and say that the immigration judge doesn't say you have no place to take this, but instead the immigration judge says, and quite wrongly: Your crime is a crime of violence, and there is no way that you will receive any relief from anybody ever again.
",0.8230584263801575
46,20-437,Elena_Kagan_,1143.895,1173.15," So how is that distinguishable from this case? Because, in this case, there's just as much an error in the first from the IJ. Now it's true that the IJ thought and and, you know, in good faith, obviously, that he was faithfully applying precedent. But that precedent was overturned, and and that meant that even when he was doing what he was doing, the law was was was not on the IJ's side. So how is that any different?
",0.15374109148979187
47,20-437,John_G_Roberts_Jr_,1476.86,1531.23999995," there are there are a lot of areas where, you know, the door closes and you lose the right to go back and challenge prior determinations. You know, the felon-in-possession rules, some recidivist prosecutions. And I'm just wondering, the void ab initio, you seem to be arguing that whenever there is some kind of change or clarification in the law, you do go back and reopen everything. Now, as counsel noted in response to Justice Alito's question, there are avenues in in this case, this sort of case, to do that. But your proposition seems to me to be limited to, you know, we now know this was wrong, so we have to go and unscramble the unscramble the eggs.
",0.39302492141723633
48,20-437,Stephen_G_Breyer_,1787.57,1859.53000005," How, in your opinion, at the risk of repetition, do you get out of this? The the imagine a statute which is absolutely clear. It says, Mr. Jones, you're about to be deported and you will be under these circumstances. If the judge looks at your state record, he looks at that document, and if it says in that document you were convicted of DUI, and you can attack that conviction if it is entered within the last 10 years, but earlier than that it's sacrosanct. I mean, can't the government deport somebody? All he had to do was look at the record. If it's there, we don't care if it's good, bad, indifferent, or whatever it is, we don't want to go back into it, you're now deportable. Well, that's what they've done here with an exception that favors you. How do we get out of that?
",0.7774537205696106
49,20-437,Stephen_G_Breyer_,1896.78,1961.39," I see where you're going. I see where you're going. Now I have another question. I have another question. I've got I'm I'm sorry, I I'm adding to your answer, but I see where you're going. All right. If you lose, I've tried to find out how many people are there likely that would be subject to orders based on crimes of violence or whatever that term is and in your client's position, and I get under a thousand. And it must be a very small percentage of those, maybe one, maybe two, maybe three people like your client who fall within the category of later on it was determined it wasn't a crime of violence, like driving under the influence. So does your case affect more than a handful of people? And if it does not, does the Attorney General or is there a route that you could get relief, administrative relief, because your client has lived here such a long time?
",0.1904914379119873
50,20-437,Samuel_A_Alito_Jr_,2014.37,2052.125," Suppose that Leocal and the Ninth Circuit decision, Trinidad Trinidad Aquino, had not been decided, but everything else about this case is the same. Could your client have moved to dismiss the indictment in this case on the grounds that the prior removal order was invalid for the reasons that were later later accepted and that would later be accepted in Leocal and and the Ninth Circuit decision?
",-1.2260642051696777
51,20-437,Samuel_A_Alito_Jr_,2163.09,2183.445," Well, what it says is, in a criminal proceeding under this section, an alien may not challenge the validity of the deportation order, and then it provides some exceptions. You are challenging the validity of the deportation order. You think it's open and shut, and it probably is open and shut, but, nevertheless, you're challenging it, are you not?
",0.3995630443096161
52,20-437,Sonia_Sotomayor_,2218.75,2309.305," Counsel, can you go on you disputed Ms. Ross's argument about a motion to reopen. And I do know that there's a time limit there. But she mentioned other ways of you attacking or getting this revoked. I don't see that issue in the briefs before us or in the briefs more adequately spelled out for us to really consider that issue fully. But I think the essence of Lewis and other cases that rely on prior convictions, even if they're void or voidable, is that there is a way that a person can challenge that prior conviction independent of committing the crime that says don't possess a gun. You if you were a convicted felon and if you think the felony is void or voidable, you should go back and get it voided. And Ms. Ross's argument is don't reenter the country until you get your removal order voided. So please answer the first question. Do you dispute that all the other mechanisms are unavailable to you, and where in the record do I look at that being resolved by the court below?
",0.1029658168554306
53,20-437,Elena_Kagan_,2432.55,2477.37999995," Mr. Garcia, assuming we are in Section 1326(d) and the question is one of availability, I had understood your brief to be making the argument that this is essentially a misrepresentation case, as described in Ross, so that even if there was an administrative remedy on the books, it wasn't truly available. But, as you talked about it today, it it strikes me that you're not talking about any kind of misrepresentation, that you're instead talking about what Ross's second category is, which is that the administrative scheme is so opaque so opaque that it becomes incapable of use. Now am I reading you right now?
",-0.006941330153495073
54,20-437,Elena_Kagan_,2515,2546.32," Well, Ross was talking about misrepresentations as to what kind of procedure was available, and, similarly, in terms of what's opaque and what's not, Ross was talking about, you know, procedural schemes that are opaque. And you're sort of taking both of those and and converting it into a context where we're talking about substantive law, and I'm wondering whether that's an appropriate thing to do.
",-0.11732704937458038
55,20-437,Amy_Coney_Barrett_,2630.39,2657.27499995," Mr. Garcia, I'd like to go back to the colloquy you were just having with Justice Kagan. So I take you to be saying that, and I think everybody, I was about to say, in this room, but on this call, can sympathize with your point that the categorical approach can be opaque and confusing, but does that then mean that availability under 1326(d) varies according to the difficulty of the law that underlay the initial conviction?
",-0.10312934964895248
56,19-1189,John_G_Roberts_Jr_,135.64,161.2," Counsel, you just said that the your theory applies regardless of the merits of the federal officer or the federal civil rights basis for removal. But what if the those bases are frivolous, that everybody who wants to keep their case in federal court will put in as many grounds for removal as they can, and they have to all they have to do is tack on one of these federal officer or federal civil rights grounds? Is that right?
",-0.8907742500305176
57,19-1189,John_G_Roberts_Jr_,188.52,202.8," what if it's beyond frivolous? What if the court of appeals just says, you know, I think we ought to look at this, and if they're it turns out they're wrong about the federal officer basis, we'll just send it back and we don't have to consider all these other possible grounds?
",0.40671002864837646
58,19-1189,Clarence_Thomas_,238.56,263.28," Thank you, Mr. Chief Justice. Mr. Shanmugam, the I'd like to I may have missed your last point. Did you say that even if the order or the bases offered by the moving party is frivolous, that it would still have to be considered?
",-0.570807158946991
59,19-1189,Clarence_Thomas_,334.68,353.92," Just so just that I just so that I'm clear, you're saying that the courts once the order is appealed, that the appellate courts have no discretion to consider grounds that were not the basis for the removal for the appeal?
",-1.0026699304580688
60,19-1189,Stephen_G_Breyer_,381.92,428.76," Well, one concern would be that if you are right, that in considering removal, a defendant will add grounds, federal officer or civil rights. There are there's a big difference between frivolous and meritorious. It's called uncertainty and possible and who knows. So they'll add, on those grounds, it will get over to the federal court. The federal court will say that it it's not frivolous, but it's wrong, and, therefore, they will appeal on everything. And that means added time, added delay, in a statute, the point of which, no appeal, is to cut down on the time and delay caused by appeal.
",0.28624987602233887
61,19-1189,Stephen_G_Breyer_,457.08,474.08," I'm only saying, is there the evidence point I've got, that's a good point. The the is there anything else to say in in the ground where you're a lawyer in your office and you say, ah, this isn't really much, ah, blah blah blah, but we better stick it in in case we want an appeal. You're not saying it's nothing.
",0.942694365978241
62,19-1189,Sonia_Sotomayor_,525.4,586.76," Counsel, you're talking about what Congress balance Congress could have chosen. But I go to the fact that when Congress added 1443 to this statute, every circuit court who had addressed this issue had already ruled that the only thing that was subject to review was a a decision based on 1442 and had rejected your argument. Don't you think that if I'm trying to figure out what Congress intended that I would look to what was before Congress's understand under in front of Congress in its understanding, number one? Number two, that when it told me that it didn't want appellate review of all issues and that it only wanted appellate review of 1442 and 1443 issues, that our review should be limited to what it wanted? I mean, I do --
",-0.09093913435935974
63,19-1189,Sonia_Sotomayor_,587.44,612.04," I do know that we have some of my colleagues who believe that exceptions should not be read narrowly. I don't happen to be one of them, but even if I read ""order"" you know, ""order"" the way you want, I don't think I can read it in isolation. And I think those two other factors make me believe that what Congress intended is not what you say.
",1.2388973236083984
64,19-1189,Elena_Kagan_,667.64,692.88," Mr. Shanmugam, when you were talking with the Chief Justice and Justice Thomas about frivolous cases, you seemed to want to rely on sanctions rather than a a kind of Bell v. Hood rule. And I'm I'm I'm wondering, why isn't a Bell v. Hood rule that says that the Court has no jurisdiction with respect to frivolous assertions of that kind why isn't that the better way to go?
",0.06480231881141663
65,19-1189,Neil_Gorsuch_,776.36,810.76," I I I'd like to press on the Bell versus Hood argument a little bit from the other direction. Isn't it a little bit odd to police jurisdiction based on whether an argument is frivolous or not? Wouldn't that seem to be more of a merits determination in the first instance? And for for a party arguing that we need to follow the strict language of the statute with respect to our jurisdiction of orders, I'm I'm I'm I'm not sure I understand where where this authority to dismiss for lack of jurisdiction, frivolous arguments, might might emanate, what penumbra it emanates from?
",0.5895782113075256
66,19-1189,Neil_Gorsuch_,828.16,841.24," I mean, you know, you're you're as familiar with those criticisms as I am and yet you press the point. So I don't think you can press the point and then say: Well, I don't know, the Court can do whatever it wants. I mean, you you surely have to take a position here.
",1.198771357536316
67,19-1189,Brett_M_Kavanaugh_,901.2,955.4," Thank you, Chief Justice. Good morning, Mr. Shanmugam. I think a problem for you here is the ratification doctrine that Justice Sotomayor raised, and best I can tell, all the courts of appeals had not adopted this reading as of 2011, that no court had deviated from that interpretation. You know, what are what are we to do with that? Is it are we to say that the ratification doctrine really doesn't have that much force, which, you know, I think it sometimes is overused, just speaking for myself, or how are we to get around that here if from from your perspective of trying to convince us to adopt your position?
",0.048122767359018326
68,19-1189,Amy_Coney_Barrett_,1045.28,1055.36," Well, Mr. Shanmugam, let me pick up where you just left off. Don't you think it would be fairly aggressive for us to resolve the federal common law question here, assuming that we agreed with you on the antecedent removal point?
",-0.8904549479484558
69,19-1189,Amy_Coney_Barrett_,1115.72,1137.56," let me let me interrupt you there and circle back to the congressional ratification point. You know, as Justice Kavanaugh pointed out, the circuits were against you. They had adopted the opposite position. You pointed out in your brief that the leading treatise, Wright and Miller, had criticized that rule. Should we factor that in at all into our analysis, that there was some criticism of the rule even though it didn't come from courts?
",-0.5149264931678772
70,19-1189,John_G_Roberts_Jr_,1313.08,1339.68," Counsel, I would like to get back to the question I asked your friend previously. Is the appellate court required to consider those additional grounds for removal or simply permitted to do so? Not with respect to whether the federal officer ground is is frivolous, but let's say they just look at that first and they determine it wasn't frivolous, but it just happens to be wrong, and, therefore, we don't have to look at the other bases.
",-0.044797591865062714
71,19-1189,Clarence_Thomas_,1423.6,1459.36," Thank you, Mr. Chief Justice. Mr. Lucas, the you may be right, may or may not be right, on the statutory reading of this, but there seems there's an odd I can't avoid the odd sense that it seems as though we are smuggling in smuggling into review, appellate review, of other issues that are not necessarily the issues that are front and center like federal officer. Could you somehow help me to eliminate that sense of awkwardness?
",-0.25570327043533325
72,19-1189,Clarence_Thomas_,1509.92,1527.36," And I know you said that you're not going to take a position or the government is not taking a position on whether or not we should get to the the federal common law issue, but do you have an opinion on where whether or not such a there is a federal common law principle on climate change injuries?
",-0.9313926696777344
73,19-1189,Sonia_Sotomayor_,1569.96,1646.48," Counsel, this case is proof of how long a case could be extended if we permit review of every other argument than that raised initially in the complaint. You know, the focus of the cert petition was on the federal officer question and whether other issues could be resolved. But the sub the the grounds for removal was 442, and that was what was at issue. So I'm not sure I agree with you that there isn't inherent delay, but let me ask you a couple of things. Yamaha was decided in 1996. Congress amended the statute in 2011. In that period gap of 15 years, Wright and Miller had questioned the majority rule but suggested that it needed Congress to change it because it read the limitation the way that Respondents do. So I'm not sure how you get around ratification and that it has to have some meaning, especially when we're talking an exception that could open the floodgates of litigation of appellate litigation in the federal system.
",-0.15850749611854553
